Subject Code,Subject Name,subject code
15A01301,ELECTRICAL AND MECHANICAL TECHNOLOGY,E&MT
15A01302,BUILDING MATERIALS AND CONSTRUCTION,BMC
15A01303,STRENGTH OF MATERIALS - I,SOM-I
15A01304,SURVEYING - I,S-I
15A01305,FLUID MECHANICS,FM
15A01306,SURVEYING LAB - I,S-I Lab
15A01307,STRENGTH OF MATERIALS LAB,SOM Lab
15A01308,MECHANICS OF SOLIDS,MOS
15A01309,MECHANICS OF SOLIDS LAB,MOS Lab
15A02301,ELECTRICAL CIRCUITS - II,EC-II
15A02302,ELECTRICAL MACHINES - I,EM-I
15A02303,CONTROL SYSTEMS ENGINEERING,CSE
15A02305,ELECTRIC CIRCUITS SIMULATION LAB,ECS Lab
15A02306,ELECTRICAL TECHNOLOGY,ET
15A02307,ELECTRICAL TECHNOLOGY AND BASIC SIMULATION LAB,ET& BS Lab
15A03301,ENGINEERING DRAWING FOR MECHANICAL ENGINEERS,EDME
15A03302,ENGINEERING MECHANICS,EM
15A03303,THERMODYNAMICS,TD
15A03304,COMPUTER AIDED DRAFTING LAB,CAD Lab
15A04301,ELECTRONIC DEVICES & CIRCUITS,EDC
15A04302,SWITCHING THEORY AND LOGIC DESIGN,STLD
15A04303,SIGNALS AND SYSTEMS,SS
15A04304,PROBABILITY THEORY AND STOCHASTIC PROCESSES,PTSP
15A04305,ELECTRONIC DEVICES & CIRCUITS LAB,EDC Lab
15A04306,DIGITAL LOGIC DESIGN,DLD
15A05201,DATA STRUCTURES,DS
15A05301,DATABASE MANAGEMENT SYSTEMS,DBMS
15A05302,DISCRETE MATHEMATICS,DM
15A05303,DATABASE MANAGEMENT SYSTEMS LAB,DBMS Lab
15A52301,MANAGERIAL ECONOMICS & FINANCIAL ANALYSIS,MEFA
15A54301,MATHEMATICS - III,M-III
15A99301,BASIC ELECTRICAL AND ELECTRONICS ENGINEERING,BEEE
15A99302,BASIC ELECTRICAL AND ELECTRONICS LAB,BEE Lab
